GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3810314-02,564,225,325,529.0,114.0,414.0,535.0,149.0,385.0,548.1,110.0,399.0,547.1,105.0,429.0,549.0,59.0,478.0
3810314-03,296,98,191,264.0,58.0,206.0,268.0,62.0,205.0,275.0,32.0,232.0,276.0,25.0,242.0,279.0,21.0,253.0
3810314-04,289,136,145,299.0,74.0,225.0,300.0,111.0,185.0,298.0,59.0,224.0,301.1,46.0,249.0,303.1,33.0,260.0
3810501-59,1854,592,1226,1562.2,318.9,1240.8,1592.0,473.2,1109.2,1885.6,281.5,1435.9,1846.3,213.1,1541.7,1873.5,169.6,1609.7
3810501-60,724,263,453,747.6,168.8,577.1,756.0,234.9,516.2,880.9,137.7,660.4,864.0,108.0,702.7,872.7,89.7,727.4
3810501-73,1212,376,812,981.2,220.1,757.3,999.5,307.9,683.7,1100.2,176.7,832.5,1082.5,134.5,894.8,1089.2,113.9,919.8
3810501-74,1215,384,819,1244.7,278.4,960.6,1271.6,390.3,870.5,1366.5,222.0,1038.2,1346.2,166.8,1120.7,1352.2,142.5,1148.6
3810501-76,1163,351,793,1468.3,318.9,1147.1,1508.8,422.6,1074.4,1789.8,268.1,1374.0,1742.9,213.7,1436.1,1760.4,175.2,1474.5
381052-43,608,160,438,1155.0,171.0,982.0,1174.0,213.0,957.0,1322.0,114.0,1122.0,1243.0,105.0,1083.0,1269.0,81.0,1134.0
381052-45,96,35,56,149.0,21.0,128.0,151.0,33.0,118.0,186.0,17.0,154.0,180.0,10.0,160.0,183.0,5.0,168.0
381052-48,445,113,326,1283.0,221.0,1060.0,1310.0,275.0,1032.0,1464.0,137.0,1204.0,1400.0,118.0,1210.0,1414.0,124.0,1204.0
