GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg
320031354,600,386,204,606.0,350.0,216.0,599.0,339.0,191.0,507.0,306.0,172.0,510.0,314.0,163.0,505.0,293.0,180.0,510.0,306.0,158.0
320031355,787,321,442,1422.0,597.0,767.0,1402.0,579.0,734.0,1531.0,697.0,781.0,1531.0,682.0,790.0,1528.0,661.0,797.0,1545.0,702.0,746.0
320031356,915,594,308,1132.0,645.0,427.0,1115.0,614.0,406.0,973.0,595.0,345.0,974.0,576.0,358.0,972.0,573.0,356.0,971.0,580.0,338.0
320031357,656,378,270,830.6,405.6,378.4,824.0,388.7,375.1,660.7,343.4,294.4,660.7,340.2,288.8,656.0,320.1,298.3,655.0,332.5,291.1
320031360,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031361,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
320031362,0,0,0,1.3,0.7,0.6,1.3,0.7,0.5,1.1,0.6,0.4,1.1,0.6,0.4,1.1,0.6,0.4,1.1,0.6,0.4
320031363,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031365,5,2,2,6.7,6.3,0.3,5.6,5.3,0.3,7.6,4.3,3.2,7.6,3.3,3.2,7.6,4.2,3.3,7.6,4.3,3.2
320031367,1146,732,388,1292.0,754.0,444.0,1269.0,700.0,424.0,1015.0,621.0,343.0,1013.0,603.0,357.0,1003.0,587.0,358.0,1009.0,606.0,337.0
320031368,1113,742,352,1282.4,719.7,457.6,1257.9,678.6,448.0,970.0,585.1,332.2,970.9,566.4,339.9,965.9,548.2,351.0,971.1,558.5,333.8
320031370,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.0,3.7,7.9,3.9,3.7,7.9,3.7,3.8,7.9,3.9,3.6
