GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
720130027.4,127,0,127,20,4,4,0,119,0,119,0,0,0,0,200,0,200,24,0,0,0,168,0,168,24,0,0,0,168,0,168,0,0,0,0,0,0
72013027.22,1359,0,1359,91,0,1,0,1090,0,1090,0,0,0,0,1717,17,1698,224,30,0,1,1484,16,1466,209,23,0,1,1484,16,1466,2,0,0,0,0,0
72013027.11,1031,3,1028,42,0,12,0,828,3,823,0,0,0,0,1141,13,1120,120,44,7,3,982,13,961,100,35,5,0,982,13,961,3,4,0,0,0,1
720130027.5,4786,8,4744,100,0,55,0,3623,8,3586,0,0,0,0,4893,25,4843,519,105,15,6,4109,23,4063,422,87,15,4,4109,23,4063,7,6,0,0,9,1
720130027.2,418,4,413,22,0,14,0,344,5,339,0,0,0,0,437,0,437,35,3,0,0,384,0,384,31,3,0,0,384,0,384,0,0,0,0,0,0
72013027.15,5057,66,4988,153,17,33,0,3955,43,3917,0,0,0,0,4412,32,4374,444,120,5,4,3691,26,3661,363,110,4,4,3691,26,3661,2,1,0,0,1,0
720130027.1,5195,66,5131,346,0,172,0,4254,66,4189,0,0,0,0,5347,47,5294,429,87,12,5,4579,47,4527,364,75,11,5,4579,47,4527,0,3,0,0,1,1
72013027.21,6906,41,6864,263,0,25,0,5615,20,5596,0,0,0,0,6468,25,6427,746,128,18,5,5494,22,5460,648,108,15,5,5494,22,5460,0,10,0,0,1,1
720130027.8,4328,0,4328,123,20,0,0,3661,0,3661,0,0,0,0,4739,17,4705,535,85,12,13,3975,17,3944,453,68,8,10,3975,17,3944,3,0,0,0,10,1
72013027.17,854,0,840,82,27,0,0,743,15,728,1,0,0,0,732,2,730,102,24,0,0,630,2,628,90,18,0,0,630,2,628,0,0,0,0,0,0
72013027.16,3349,0,3321,137,0,26,0,2808,23,2776,9,0,0,0,3535,31,3502,413,81,6,1,2896,27,2868,361,66,4,1,2896,27,2868,0,0,0,0,1,0
720130027.7,3253,16,3219,159,5,60,0,2416,17,2383,15,0,0,0,3381,15,3356,399,44,7,8,2506,11,2486,319,31,7,7,2506,11,2486,7,1,0,0,0,1
72013027.19,1138,0,1138,41,0,10,0,942,0,942,0,0,0,0,935,7,921,131,24,14,0,810,4,800,121,16,13,0,810,4,800,2,2,0,0,1,1
72013027.24,1030,0,1030,48,0,0,0,846,0,846,0,0,0,0,1299,4,1289,192,30,3,2,1108,4,1098,166,28,2,2,1108,4,1098,3,0,0,0,3,0
720130027.3,617,0,617,57,0,0,0,470,0,470,0,0,0,0,590,1,588,73,7,6,0,511,1,510,70,6,4,0,511,1,510,0,0,0,0,0,0
72013027.14,1614,24,1579,8,11,0,0,1297,15,1267,0,10,0,0,1747,8,1738,221,52,2,10,1390,8,1381,166,41,2,4,1390,8,1381,0,0,0,0,1,0
72013027.26,1211,0,1211,83,0,0,0,1057,0,1057,0,0,0,0,1006,7,997,189,16,0,2,817,7,808,166,14,0,2,817,7,808,2,0,0,0,0,0
