GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0900303-153,4014,2746,940,4002,3178,781,3947,2890,999,4756,3869,827,4472,3403,930,4565,3465,869
0900303-028,1444,982,390,1401,1055,324,1364,967,374,1969,1495,452,1694,1344,310,1763,1277,415
0900303-062,944,693,174,933,768,149,967,729,162,1065,899,153,1008,819,169,1029,830,150
0900101-167,1560,662,868,1557,831,709,1476,676,788,2034,1077,935,1833,1130,680,1851,823,964
0900101-091,1352,553,771,1336,682,643,1322,568,749,1836,931,876,1624,905,689,1649,737,838
0900101-043,3722,1854,1804,3673,2134,1503,3626,1900,1701,4956,2727,2183,4466,2569,1792,4588,2300,2116
0900101-149,2465,1585,840,2437,1719,686,2452,1706,731,3352,2293,1024,2478,1617,779,2996,1877,988
0901313-021,3028,1629,1190,2995,1932,1006,2971,1709,1210,4322,2720,1513,3718,2512,1059,3702,2114,1344
0901313-022,3412,1619,1532,3371,2024,1312,3343,1688,1612,4459,2721,1662,3926,2506,1330,3957,2063,1664
0901313-004,3159,1332,1565,3109,1626,1419,3068,1391,1632,3909,2034,1764,3336,1940,1288,3394,1527,1618
0901313-017,2832,1189,1439,2816,1490,1288,2797,1251,1507,3602,1984,1543,3311,1908,1323,3347,1599,1513
0900101-045,641,399,225,625,437,182,602,393,203,2302,1465,816,2405,1794,559,2088,1308,701
0901313-025,2601,1190,1200,2587,1395,1138,2558,1219,1305,3204,1674,1445,2955,1775,1055,2996,1414,1373
0900101-168,2127,991,1105,2101,1191,899,1997,997,991,2802,1562,1211,2416,1506,851,2482,1154,1216
0900101-002,1958,883,1033,1942,1056,873,1913,890,1010,2577,1370,1170,2172,1131,1009,2208,1041,1075
0900505-006,867,565,265,868,642,217,849,563,275,1032,760,250,910,639,237,923,622,248
0900303-022,3040,1337,1527,2994,1642,1312,2972,1405,1534,4181,2200,1901,3491,2135,1271,3621,1764,1705
0900303-169,1283,769,428,1267,905,353,1253,807,429,1595,1179,401,1435,1071,341,1465,1005,413
0900505-011,1571,950,569,1560,1057,484,1539,961,558,1865,1277,568,1688,1144,508,1716,1081,559
0900505-045,1937,1057,795,1926,1222,678,1893,1114,762,2268,1461,770,2061,1315,697,2082,1242,738
0900303-167,2720,1849,721,2693,2037,621,2657,1860,765,3291,2525,716,3111,2400,657,3137,2276,741
0900303-170,2764,1584,1011,2753,1865,862,2712,1659,1017,3460,2357,1035,3045,2119,860,3097,1930,992
0900303-173,2535,1036,1332,2489,1334,1120,2476,1105,1343,3480,1894,1517,2985,1828,1065,3057,1412,1469
0901111-052,1217,377,775,1190,499,666,1192,364,810,1524,566,918,1338,652,629,1385,431,862
0901111-001,1191,420,667,1177,564,594,1162,427,723,1548,703,817,1349,768,529,1390,536,764
0900909-084,1374,508,803,1343,644,688,1314,511,779,1835,899,910,1598,889,661,1653,676,882
0900909-079,1816,606,1155,1775,789,964,1740,643,1082,2496,1136,1323,2126,1116,955,2218,848,1260
0900909-023,979,409,509,979,531,436,967,439,517,1220,648,546,1126,657,442,1126,535,533
0900909-017,3323,1439,1739,3304,1837,1444,3263,1553,1687,4163,2403,1696,3661,2057,1544,3669,1803,1689
0900909-070,1854,805,994,1831,993,819,1810,854,944,2464,1334,1085,2057,1268,750,2118,960,1048
0900909-162,587,478,100,567,479,83,560,457,100,847,642,192,744,632,93,820,672,127
