GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0900505-030,3741,3479,107,83,12,66,3,3123,2956,68,56,10,40,3,3631,3495,54,14,1,65,2,2995,2915,45,8,4,24,0,3625,3443,84,20,0,76,1,2845,2735,65,8,0,39,0
0900505-032,7887,7511,202,63,62,75,1,6072,5837,122,30,44,50,1,7623,7297,220,60,0,29,0,6055,5885,133,39,0,0,0,7599,7237,237,66,0,59,0,6135,5950,129,49,0,20,0
0900505-054,15816,12993,1747,782,184,339,29,12491,10725,1059,472,131,237,19,15345,11581,2623,1170,155,331,126,11112,9405,1063,422,69,141,0,15366,11378,2635,961,187,529,113,11246,9305,1233,458,67,189,0
0900505-037,5191,4255,553,225,59,157,10,4136,3538,346,136,35,111,9,4723,3637,650,183,18,249,0,3535,3092,247,78,18,99,0,4728,3674,622,174,10,264,0,3618,3205,223,81,11,90,0
0900505-009,1541,1491,19,6,6,17,2,1192,1164,11,2,3,8,0,1689,1643,15,25,0,5,0,1279,1245,14,15,0,5,0,1414,1381,8,20,0,3,0,1173,1144,7,13,0,3,0
0900505-010,4098,3959,61,22,21,39,5,3163,3087,35,13,11,24,2,3780,3577,40,126,9,29,0,2951,2840,41,33,10,30,0,4042,3844,68,102,8,22,0,3087,2986,38,26,10,22,0
0900505-026,1709,1637,30,17,8,19,0,1348,1309,15,15,5,6,0,1503,1409,34,23,36,10,0,1225,1180,19,12,8,4,0,1628,1508,48,22,41,16,0,1305,1250,30,12,8,4,0
0900101-128,3581,3415,76,29,16,55,0,2749,2643,57,18,9,28,0,3641,3318,106,0,37,134,0,2890,2685,105,0,30,75,0,3641,3339,125,0,36,83,0,2885,2690,125,0,25,55,0
0900101-162,2352,1316,487,465,18,103,7,1777,1090,315,299,13,73,6,2685,1523,626,395,35,122,16,1887,1217,375,231,16,55,0,2631,1428,641,494,40,96,16,1880,1190,401,252,20,22,0
0900101-165,4943,4078,423,339,27,116,11,3723,3190,261,201,16,78,6,5233,3725,717,827,0,113,83,3964,3105,343,451,0,40,0,4614,3533,531,517,0,14,56,3461,2850,282,316,0,1,0
0900101-181,3087,2710,124,49,6,195,3,2107,1891,72,28,3,108,2,3080,2682,97,39,9,290,0,2062,1824,76,5,2,156,0,2984,2490,151,55,9,324,0,2033,1747,95,6,2,180,0
0900101-200,3171,2789,128,53,7,196,4,2169,1953,71,34,4,111,3,3702,2943,241,140,54,445,0,2200,1815,178,15,0,202,0,3569,2812,329,144,50,345,0,2116,1779,158,20,0,162,0
0900101-056,3208,2956,109,6,4,129,1,2193,2057,63,2,4,66,0,3175,2900,87,40,21,117,0,2159,2004,45,30,21,62,0,3159,2910,76,22,0,146,0,2075,1974,30,10,0,60,0
0900101-120,8084,7359,335,62,20,321,13,5540,5123,200,35,14,173,6,8197,7380,240,108,29,443,0,5690,5283,171,76,22,152,0,8185,7253,228,89,45,576,0,5677,5282,130,43,27,198,0
0900101-051,756,450,175,70,5,50,1,587,374,120,45,5,37,1,1043,728,110,124,0,96,0,854,651,55,94,0,55,0,1187,858,102,153,0,86,0,955,768,32,123,0,33,0
0900101-122,1141,1038,47,8,5,45,3,782,723,28,6,3,25,1,1270,1123,26,0,14,111,0,817,712,15,0,8,77,0,1303,1045,36,40,40,151,0,796,627,12,18,18,122,0
0900505-027,3315,3043,195,50,17,10,2,2627,2434,139,33,12,8,2,3302,2928,221,140,10,13,0,2695,2485,104,95,10,8,0,3281,2794,342,145,11,0,0,2670,2410,169,90,10,0,0
0900505-034,3100,2823,154,60,23,55,4,2540,2360,94,38,18,36,2,2792,2488,209,76,0,40,4,2214,2052,92,33,0,38,0,2844,2511,207,90,0,70,2,2317,2134,84,40,0,46,0
0900505-033,8223,7435,292,203,35,273,5,6381,5880,165,123,25,187,3,8239,7427,185,226,40,402,3,6503,6004,112,118,40,231,0,7940,7229,203,227,30,256,0,6269,5867,92,111,30,174,0
0900505-035,818,745,40,16,8,15,1,671,624,24,10,8,10,0,664,630,1,1,19,13,0,499,461,1,0,20,15,0,694,666,2,2,11,14,0,533,504,1,1,10,11,0
0900505-039,21,19,1,0,0,0,0,17,16,1,0,0,0,0,22,20,1,1,0,0,0,16,15,1,1,0,0,0,19,18,1,1,0,0,0,16,15,1,1,0,0,0
0900505-036,645,587,31,12,6,12,1,529,491,19,8,4,8,1,675,600,29,41,0,5,0,502,453,19,25,0,6,0,617,553,22,32,0,9,0,492,446,17,20,0,10,0
0901313-006,12252,10981,319,353,83,528,8,9379,8581,196,221,56,330,4,12665,10907,686,382,23,695,0,9523,8766,360,154,23,231,0,12869,10709,620,494,155,1008,0,9526,8503,297,168,60,486,0
0901313-007,3350,3123,87,67,10,71,0,2475,2336,48,42,8,42,0,3376,2874,117,74,11,283,0,2507,2339,40,35,11,79,0,3307,2898,122,77,8,204,0,2599,2402,53,31,10,109,0
0901313-008,9686,9184,224,83,68,139,13,6980,6686,121,50,48,77,8,9522,9063,134,25,97,195,0,7275,7035,58,24,70,100,0,9512,8930,307,49,74,182,0,7355,7085,129,8,60,85,0
0901313-003,5485,5203,159,58,29,43,0,4327,4150,86,38,21,33,0,5421,4910,452,7,0,52,0,4320,4070,245,4,0,0,0,5417,4955,448,14,14,0,0,4410,4135,260,15,0,0,0
0901313-012,2769,2129,214,222,24,191,1,2227,1718,165,198,17,145,1,2573,1996,142,251,49,233,0,1908,1615,37,146,0,104,0,2608,2119,117,210,45,210,0,1884,1649,21,121,0,91,0
0901313-010,3892,2949,316,351,31,285,1,3249,2461,256,316,18,220,1,2562,2027,60,213,13,243,0,1951,1622,37,145,15,130,0,2523,2144,58,171,9,133,0,1979,1745,34,109,7,74,0
0901313-001,3303,3137,53,50,23,47,0,2469,2366,33,33,15,27,0,3223,3007,107,103,0,17,0,2580,2425,95,49,0,15,0,3203,2969,96,142,0,7,0,2585,2415,95,69,0,4,0
0901313-013,11444,9410,850,1021,47,142,8,9281,7428,770,987,30,87,6,11137,9400,688,832,103,252,0,9095,7650,535,744,27,144,0,11005,9356,694,740,124,248,0,8935,7605,515,648,27,144,0
0901313-020,854,790,32,8,20,8,0,684,638,20,5,18,6,0,873,824,10,8,20,14,0,730,715,4,4,4,0,0,894,854,3,3,16,18,3,750,735,4,0,4,0,4
0900505-003,1727,1661,26,14,1,19,0,1403,1354,18,9,1,14,0,1706,1524,46,69,25,46,0,1430,1285,25,65,20,38,0,1707,1529,47,77,18,40,0,1460,1310,30,75,15,34,0
0901313-023,6201,5183,326,289,33,399,6,5177,4435,227,200,22,301,6,6027,4299,345,499,91,826,18,4418,3755,231,307,53,59,0,5722,4155,333,456,26,731,24,4365,3674,225,293,26,112,0
0901313-019,1278,1193,29,18,2,38,0,931,880,15,12,2,21,0,1147,1053,25,23,2,59,0,824,788,19,8,2,4,0,1196,1073,10,49,2,103,0,841,797,9,10,2,12,0
0901313-017,6117,5699,136,92,15,170,4,4456,4202,79,58,13,104,4,5849,5316,149,203,31,242,0,4395,4121,115,32,8,92,0,5668,5060,67,165,27,434,0,4265,4015,56,28,8,131,0
0901313-014,3157,3016,79,28,29,9,1,2436,2357,39,16,20,6,1,2954,2686,82,49,72,65,2,2394,2245,68,20,35,24,0,3002,2736,112,36,57,72,4,2440,2242,96,25,41,32,0
0901313-015,5282,4812,203,98,51,143,13,4087,3805,123,54,31,84,11,5251,4896,185,125,80,75,4,4214,4001,83,30,38,45,0,5325,4990,172,130,89,78,6,4255,4021,100,31,30,64,0
0901313-018,7657,7133,171,106,36,214,3,5624,5312,100,65,25,124,3,7770,7306,89,95,58,209,0,5896,5651,91,60,15,88,0,7849,7372,154,84,36,207,0,5969,5713,110,62,10,72,0
0900505-023,4232,3857,201,64,26,100,0,3196,2942,133,47,17,63,0,3736,3426,148,65,9,102,0,3019,2875,72,12,0,51,0,3771,3271,235,139,13,182,0,2943,2697,120,28,0,89,0
0900505-002,3607,3477,61,28,15,28,2,2860,2769,37,19,13,23,2,3452,3240,31,56,5,68,0,2720,2640,29,39,4,15,0,3433,3130,84,51,6,77,9,2555,2460,49,28,4,10,0
0900101-149,6760,4344,1180,672,40,586,10,5345,3581,856,485,30,436,10,7111,3732,1629,853,48,976,0,4615,3086,656,440,33,401,0,6814,3438,1645,960,33,876,0,4208,2788,603,465,32,321,0
0900303-076,4530,1035,2436,1043,54,144,19,3456,982,1702,715,38,115,12,4645,917,2884,932,49,94,0,3436,786,2073,513,0,62,0,4740,947,2864,1186,73,84,0,3522,831,2018,629,0,53,0
0901313-024,4918,4505,128,118,13,156,4,3939,3657,86,77,10,112,1,4579,4093,117,132,12,205,0,3747,3379,105,110,10,150,0,4628,4023,188,178,15,180,22,3846,3395,120,163,15,114,0
0901313-002,4980,4646,151,87,25,91,3,3843,3650,85,45,18,54,1,4928,4379,339,88,7,117,0,3785,3415,230,84,4,49,0,4911,4347,370,102,7,87,0,3890,3475,264,105,4,44,0
0900505-018,3421,3290,53,16,12,46,0,2587,2508,28,9,10,28,0,3745,3672,32,36,0,3,0,2891,2845,20,25,0,2,0,3606,3564,31,3,0,4,0,2775,2748,19,4,0,2,0
0900505-017,3549,3396,71,21,23,49,0,2751,2662,37,12,15,29,0,3010,2721,229,16,33,13,0,2324,2050,220,9,30,13,0,3097,2951,74,9,40,13,0,2355,2237,66,0,40,13,0
0900101-111,6211,4941,700,426,33,157,8,4612,3764,464,280,25,99,6,7004,4950,1088,774,9,378,12,4455,3496,328,419,0,204,0,7243,4734,1310,856,10,565,13,4616,3453,349,457,0,347,0
0900101-112,7333,5079,1145,690,52,429,15,5660,4105,771,472,39,316,13,7998,5354,1487,514,17,734,0,5409,4016,730,311,14,351,0,7939,4654,1580,693,0,1150,0,5400,3693,734,459,0,511,0
0900101-066,5746,4628,501,206,32,375,4,4233,3522,300,132,20,243,4,5963,4699,457,178,6,636,3,4248,3505,280,103,7,346,0,5934,4319,680,204,5,734,3,4175,3191,438,98,0,433,0
0900101-065,5750,5153,257,132,12,207,1,4362,3975,170,94,9,121,0,5947,5128,404,283,29,216,1,4297,3792,248,126,28,104,0,5949,4973,474,376,28,201,1,4376,3771,282,171,28,113,0
0900303-027,7517,2749,1891,2268,88,754,26,5716,2421,1247,1528,58,580,18,6980,2300,2484,2060,29,485,37,4722,1968,1530,945,27,251,0,7423,2256,3026,2053,42,419,40,4851,1851,1728,1034,37,211,0
0900303-028,4925,1444,1386,1581,58,621,12,3664,1276,896,1066,40,471,10,5051,1065,2073,1858,176,289,0,3328,924,1156,1068,7,165,0,4721,1095,2396,1213,108,245,0,2975,909,1373,538,16,109,0
0900303-168,5289,1338,622,3200,65,250,12,3993,1164,395,2316,49,182,10,5256,1052,781,3102,3,283,53,3734,989,590,1946,4,170,30,5366,946,883,3245,122,257,22,4099,902,687,2302,100,199,15
0900303-170,5247,3418,350,1315,43,217,2,4143,2855,228,924,28,154,1,5051,3304,505,1199,53,90,3,3811,2701,308,717,50,43,0,4962,3263,506,1025,72,188,3,3914,2786,309,663,68,84,0
0900303-167,5588,2949,499,2001,57,209,4,4414,2552,331,1410,45,153,4,5618,2382,223,2920,39,144,0,4235,2087,189,1838,0,121,0,5531,2686,234,2544,32,81,31,4243,2344,195,1617,4,64,0
