GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
100034-26,1207.0,800.0,351.0,1158.0,836.0,293.0,1137.0,778.0,359.0,1087,796,280
100034-27,840.5,477.5,315.4,810.1,494.0,292.3,800.8,516.5,284.4,703,446,243
100035-1,1014.5,821.4,140.6,946.3,774.0,142.3,923.8,729.9,193.9,1020,848,158
100035-2,705.3,610.3,72.6,646.0,570.0,60.6,643.5,522.4,121.2,725,639,79
100032-13,192.0,160.5,21.1,172.0,133.4,26.3,170.8,136.2,34.6,164,139,23
1000312-7,1003.4,532.2,411.0,985.0,563.1,398.5,961.6,528.0,433.6,1081,587,481
1000310-11,1081.3,592.4,433.9,1093.2,648.1,428.4,1070.9,587.6,483.3,1119,616,488
100035-13,994.9,596.6,345.7,938.4,622.4,272.9,909.7,617.6,292.1,1028,767,242
1000312-13,526.2,309.1,188.2,495.5,327.0,147.3,481.1,327.8,153.3,552,395,146
100036-13,956.6,533.2,365.8,930.6,578.6,312.1,905.8,592.2,313.7,988,675,289
100036-15,1986.8,1396.3,492.9,1908.7,1383.8,474.8,1888.7,1345.8,542.9,1572,1247,315
100035-17,727.7,405.7,274.0,706.1,461.1,226.8,682.0,454.4,227.7,737,492,234
100038-17,811.6,577.3,207.2,771.0,584.3,170.8,745.8,557.2,188.6,875,699,169
1000312-21,211.1,82.3,114.0,207.7,84.0,119.7,202.8,81.2,121.6,230,105,122
1000311-22,926.8,555.4,328.4,909.6,566.7,322.5,888.1,556.0,332.2,1024,660,350
100037-22,800.2,479.6,283.6,785.4,489.3,278.5,766.9,480.0,286.8,774,493,273
100035-6,790.6,575.5,178.1,771.8,583.2,172.5,759.9,561.5,198.4,751,570,175
100035-7,647.0,488.0,113.0,646.0,491.0,123.0,619.0,502.0,117.0,643,518,111
