GEOID10,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0400505,743.8,492.9,238.1,744.0,524.2,206.5,724.1,504.5,218.9,767.5,495.4,211.1,766.6,469.5,267.0,680,431,245
0400597,401.8,139.9,247.9,400.8,165.0,221.8,395.8,163.9,229.8,441.9,145.9,249.8,435.0,147.9,238.0,298,136,153
0400523,1273.5,794.2,452.3,1269.8,864.5,386.5,1233.8,820.4,412.0,1329.5,794.3,416.9,1317.7,751.5,512.2,1221,707,497
0400575,781.6,259.6,500.3,788.5,310.1,442.8,767.7,293.2,473.5,846.0,276.4,494.3,840.1,272.4,508.2,920,319,585
0400558,407.6,65.5,332.4,404.7,79.0,308.4,395.1,79.0,316.1,499.2,71.3,388.3,487.6,76.1,365.2,529,105,418
0400587,7.4,2.5,4.7,7.5,2.9,4.2,7.3,2.8,4.5,8.0,2.6,4.7,7.9,2.6,4.8,7,3,4
0400580,638.0,202.0,424.0,638.0,284.0,342.0,616.0,243.0,371.0,669.0,204.0,426.0,661.0,208.0,419.0,606,217,379
0400583,1219.0,637.4,561.7,1223.0,710.1,492.0,1194.1,683.2,508.9,1269.8,661.3,521.9,1260.9,639.4,555.7,1187,642,531
04025034,895.7,451.3,428.6,898.8,518.2,364.9,870.4,484.8,385.2,920.1,482.1,385.2,900.4,445.7,414.7,921,437,476
04025041,819.5,468.5,332.0,825.0,516.4,287.8,799.0,499.7,298.4,867.2,502.6,301.6,853.9,474.6,327.1,880,499,367
0400588,17.0,11.3,4.8,17.2,14.7,2.2,16.3,13.2,3.1,20.9,16.3,3.1,21.2,17.4,3.6,23,20,3
0400569,702.0,449.0,229.0,700.0,566.0,114.0,690.0,508.0,181.0,767.0,591.0,114.0,771.0,599.0,151.0,692,476,205
0400590,986.9,737.2,199.4,996.7,842.8,103.6,988.8,845.7,140.1,1069.8,849.7,111.5,1082.6,942.4,118.4,870,743,121
0400561,334.0,196.0,128.0,335.0,223.0,92.0,330.0,228.0,102.0,401.0,265.0,101.0,412.0,315.0,88.0,413,304,102
0400557,93.3,39.6,50.6,93.2,45.1,44.9,91.2,42.6,48.4,105.8,41.3,55.1,104.4,43.0,53.6,68,27,40
0400585,1682.5,652.5,982.1,1673.6,732.8,889.9,1641.8,720.5,918.8,1728.2,614.9,940.6,1695.4,616.4,959.1,1623,711,891
0400550,917.1,388.4,498.3,915.6,442.5,441.9,896.6,418.1,476.4,1037.0,404.0,538.9,1022.8,420.2,528.2,1045,469,557
0400555,27.9,11.9,15.1,27.9,13.5,13.4,27.3,12.8,14.4,31.7,12.4,16.4,31.2,12.9,16.0,1,1,0
0400592,14.5,6.2,7.9,14.5,7.1,7.0,14.2,6.7,7.5,16.5,6.5,8.5,16.3,6.7,8.3,3,2,1
0400520,636.0,304.0,306.0,635.0,336.0,261.0,614.0,332.0,282.0,747.0,336.0,325.0,738.0,316.0,372.0,626,330,287
0400595,679.7,484.7,165.0,680.2,558.1,90.3,676.0,558.5,117.6,749.5,571.7,90.3,767.6,636.9,97.3,787,634,146
0400593,633.3,459.4,152.8,639.2,545.2,76.9,628.2,527.0,100.2,681.6,522.1,87.4,696.7,556.4,108.6,570,450,115
0400559,508.7,353.3,143.7,512.7,392.6,99.4,498.9,372.9,125.0,611.1,397.5,136.8,601.2,377.9,186.0,654,466,177
0400560,42.0,34.0,8.0,40.0,33.0,5.0,40.0,37.0,3.0,35.0,26.0,5.0,33.0,24.0,7.0,54,38,16
0400564,381.0,71.0,304.0,382.0,108.0,256.0,368.0,89.0,279.0,377.0,82.0,273.0,373.0,89.0,240.0,326,117,198
0400708,294.0,80.0,204.0,292.0,132.0,148.0,292.0,114.0,176.0,301.0,105.0,177.0,298.0,103.0,171.0,362,125,227
0400712,467.0,114.0,342.0,468.0,165.0,285.0,461.0,136.0,324.0,518.0,127.0,359.0,499.0,123.0,343.0,554,173,373
0400707,405.9,131.6,268.0,404.3,174.0,222.5,393.4,142.6,250.0,446.7,141.1,271.9,447.4,124.6,293.9,477,146,326
0400703,126.8,50.5,71.6,127.7,69.2,51.6,122.5,56.8,65.6,161.3,64.6,79.0,161.4,64.8,87.5,158,62,93
0400704,335.3,126.1,196.4,335.7,171.1,146.7,326.3,150.1,175.4,362.8,136.0,192.9,351.9,131.9,197.9,390,174,209
0400713,211.7,70.1,130.2,212.5,108.8,93.9,208.1,95.2,112.0,211.9,78.5,119.0,211.6,78.3,119.9,295,127,160
0400714,344.4,165.9,158.8,345.5,222.2,101.1,337.9,206.8,129.0,405.2,211.5,161.0,399.4,188.7,181.1,377,212,158
0400726,732.0,146.0,575.0,732.0,214.0,502.0,705.0,181.0,523.0,824.0,177.0,599.0,777.0,178.0,520.0,825,224,595
0400727,1291.0,268.0,992.0,1281.0,348.0,898.0,1262.0,320.0,942.0,1418.0,283.0,1052.0,1337.0,292.0,932.0,1323,354,955
0400733,1153.0,259.0,871.0,1152.0,342.0,767.0,1136.0,304.0,831.0,1277.0,312.0,897.0,1217.0,308.0,800.0,1184,333,841
0400732,905.0,202.0,681.0,902.0,272.0,590.0,891.0,254.0,636.0,973.0,228.0,687.0,923.0,220.0,624.0,974,264,697
0400734,1625.0,296.0,1310.0,1621.0,431.0,1159.0,1593.0,380.0,1213.0,1697.0,362.0,1253.0,1610.0,344.0,1123.0,1406,347,1041
0400722,105.3,64.7,37.0,106.1,77.4,24.2,104.3,74.3,29.5,115.8,81.4,30.0,114.2,74.6,33.6,90,38,48
0400720,190.6,117.0,67.0,192.0,140.1,43.9,188.7,134.5,53.3,209.5,147.2,54.3,206.7,134.9,60.9,246,210,35
0400721,108.0,66.3,38.0,108.8,79.4,24.9,107.0,76.2,30.2,118.7,83.4,30.8,117.1,76.5,34.5,141,121,20
0400737,312.0,55.0,248.0,311.0,83.0,215.0,308.0,76.0,229.0,353.0,68.0,264.0,334.0,73.0,230.0,333,93,235
0400739,1688.0,385.0,1272.0,1683.0,518.0,1111.0,1657.0,493.0,1161.0,1785.0,417.0,1266.0,1695.0,418.0,1121.0,1618,440,1152
0400723,141.0,19.0,119.0,140.0,34.0,103.0,140.0,27.0,113.0,160.0,31.0,113.0,152.0,36.0,101.0,174,52,114
