GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10001005-28,4026,2388,1529,4045,2394,1555,3981,2379,1602,4134,2421,1645,2730,1692,985,2696,1672,1024,3346,1965,1297,3262,1969,1293,3460,1784,1524
10001006-28,293,146,141,294,146,143,291,149,142,301,145,154,222,118,101,218,115,103,276,149,123,271,154,117,282,125,148
10001007-30,1657,468,1138,1666,472,1170,1644,467,1177,1697,456,1209,1201,312,868,1191,341,850,1430,423,981,1383,466,917,1444,305,1079
10001007-33,866,452,385,873,461,392,863,451,412,891,470,399,622,332,276,615,347,268,759,411,334,743,419,324,778,385,349
10001008-33,553,288,247,558,292,253,550,287,263,566,298,256,398,212,176,395,223,172,486,262,213,473,266,207,498,248,224
10001008-34,844,453,369,850,466,371,840,442,398,860,460,387,573,307,256,571,312,259,600,279,309,586,304,282,606,273,303
10001002-33,3233,1674,1460,3247,1705,1486,3198,1614,1584,3293,1697,1535,2260,1174,1049,2238,1184,1054,2495,1138,1312,2451,1214,1237,2531,1109,1289
10001009-34,328,175,142,326,177,143,324,168,156,332,176,150,218,115,100,216,116,100,235,103,129,231,114,117,238,102,126
10001003-34,2650,1241,1336,2661,1258,1344,2617,1192,1425,2698,1239,1415,1871,882,951,1850,911,939,2276,1015,1224,2215,1061,1154,2326,946,1252
10001002-28,2026,1110,849,2032,1127,853,1990,1139,851,2077,1138,896,1411,814,565,1392,818,574,1801,1029,709,1770,1089,681,1853,883,874
10001003-28,321,176,137,320,176,138,323,180,143,329,176,147,221,128,88,215,127,88,276,157,113,277,174,103,288,136,136
10001004-34,3465,1925,1424,3496,1951,1462,3437,1857,1580,3575,1986,1515,2638,1478,1100,2584,1490,1094,3083,1506,1500,3002,1585,1417,3174,1418,1568
