GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0229039-314,473,133,11,3,327,7,0,339,101,6,1,229,5,0,513,168,6,1,333,6,0,367,105,4,0,252,4,0,499,161,9,1,323,6,0,352,100,10,0,237,4,0
0212231-310,1231,1111,23,4,64,31,0,953,870,15,3,47,17,0,1433,1249,40,5,92,51,0,1085,969,29,4,57,25,0,1482,1309,39,4,82,48,0,1141,1021,33,4,57,28,0
0212230-230,1937,1515,82,19,265,66,21,1375,1118,44,11,159,42,9,2047,1630,47,0,355,28,0,1556,1288,43,0,209,20,0,1908,1518,44,35,295,32,0,1487,1209,34,35,188,20,0
0210535-750,200,142,6,0,53,2,0,166,125,5,0,38,1,0,185,145,5,0,34,0,0,165,135,5,0,24,0,0,187,163,5,0,20,0,0,165,149,5,0,12,0,0
0218840-038,262,15,1,0,247,0,0,155,13,0,0,142,0,0,284,31,1,0,252,3,0,169,20,2,2,152,2,0,270,25,1,1,244,0,0,165,20,2,2,146,0,0
0201637-706,4376,1468,663,328,370,1548,133,3767,1263,580,315,270,1311,118,4781,1186,684,228,304,2422,175,2760,1040,270,168,199,1009,50,4724,1094,727,220,278,2492,214,2605,950,270,128,174,949,45
0213036-600,2841,1620,131,57,897,202,6,2185,1349,76,33,605,145,4,3039,1629,238,46,923,268,19,2250,1360,145,48,565,113,0,3031,1660,205,37,947,215,16,2235,1335,135,27,630,99,0
0206606-035,344,207,9,3,131,1,1,243,156,5,1,86,1,0,228,70,8,0,152,1,0,180,51,8,0,124,0,0,269,64,7,0,194,0,0,207,58,8,0,146,0,0
0209001-465,1566,979,81,108,384,50,11,1308,840,64,89,287,43,5,1145,619,120,83,343,57,0,973,519,94,63,251,40,0,949,534,108,36,270,45,0,816,467,98,35,193,27,0
0209005-588,730,542,24,15,123,29,1,590,447,21,15,91,21,1,778,611,9,21,124,0,13,580,475,10,20,70,0,4,632,466,8,15,118,0,25,490,390,10,15,70,0,10
0209005-587,572,395,28,33,104,20,4,436,319,20,24,60,14,2,459,327,1,1,133,0,0,333,246,0,0,90,0,0,425,308,1,1,113,1,0,297,214,0,0,82,2,0
0209005-580,556,378,55,27,71,24,11,431,309,36,16,49,15,7,387,277,21,35,43,27,0,310,253,5,20,20,13,0,474,354,6,27,55,32,0,366,310,5,5,28,15,0
0217010-020,1910,1535,64,25,266,24,5,1384,1174,30,14,153,16,2,2172,1759,76,46,229,8,39,1555,1285,35,19,185,4,20,1977,1693,67,41,140,13,16,1490,1275,30,40,125,4,4
0217008-135,3148,2635,96,32,331,44,34,2302,2014,54,15,180,27,19,3004,2555,193,27,156,105,48,2069,1812,111,0,78,50,0,3258,2685,272,44,201,94,47,2362,1988,190,15,109,40,0
0217011-085,1799,1470,76,33,173,52,9,1256,1069,44,20,92,31,7,2055,1646,87,70,187,43,17,1465,1235,64,39,97,19,4,2163,1733,103,74,185,46,19,1504,1281,72,40,84,18,4
0217008-140,3708,2974,156,84,439,96,24,2538,2098,82,49,260,57,13,4424,3570,131,97,412,264,92,2665,2206,93,10,275,35,1,4145,3301,152,94,392,267,97,2547,2115,104,10,243,35,1
0217009-645,1773,1256,75,54,381,50,13,1470,1043,59,48,318,36,13,1822,1254,45,57,407,74,5,1557,1060,38,40,370,35,0,1672,1156,30,33,375,79,0,1393,971,23,19,340,40,0
0229037-312,54,24,3,0,26,1,0,40,20,2,0,18,0,0,46,13,3,1,30,0,0,36,11,2,1,21,0,0,57,15,3,2,36,0,0,41,13,2,1,24,0,0
0229039-316,275,18,0,0,256,1,0,166,11,0,0,154,1,0,328,25,7,1,301,2,0,209,14,1,0,192,1,0,319,30,12,0,282,4,0,199,14,1,0,184,1,0
0205038-820,311,21,4,1,289,3,0,210,20,2,0,189,2,0,321,41,0,1,278,2,0,210,38,0,1,169,1,0,344,49,0,0,291,5,2,222,47,0,1,169,1,1
0215839-930,568,10,0,0,558,0,0,333,8,0,0,325,0,0,616,28,14,12,577,3,5,373,28,1,1,342,1,1,643,26,12,11,606,3,7,392,26,1,1,360,1,1
0209005-596,3586,2409,265,252,507,218,58,2618,1884,153,147,305,145,27,4095,2371,313,172,942,447,0,2849,1835,177,80,476,255,0,3728,2338,219,193,799,241,0,2564,1735,151,140,451,92,0
0209001-470,1860,1178,117,146,355,74,7,1527,1002,89,102,287,45,4,1932,1324,183,110,318,28,0,1587,1142,104,98,229,14,0,1707,1126,97,112,304,80,0,1424,1021,59,103,198,47,0
0213036-610,3058,1677,149,54,636,634,28,2321,1383,81,30,405,455,18,3076,1673,126,78,590,659,104,2202,1406,71,36,374,278,4,2931,1545,137,78,574,640,85,2173,1341,79,48,358,315,15
0215839-900,677,14,0,3,660,3,0,378,11,0,1,364,3,0,792,11,0,4,767,13,1,464,8,0,2,453,2,0,825,3,0,2,818,2,0,487,2,0,2,480,1,0
0215839-934,480,5,0,1,474,0,1,237,5,0,1,231,0,1,543,31,5,4,502,0,0,308,31,3,0,275,0,0,532,35,8,3,485,0,0,308,35,9,0,261,0,0
0205038-860,210,14,0,4,193,0,0,132,14,0,4,116,0,0,209,22,2,1,186,1,0,136,19,1,1,114,1,0,210,23,3,2,182,1,0,136,19,1,2,114,1,0
0205038-804,512,107,6,2,403,0,0,343,88,4,2,254,0,0,535,54,9,0,479,0,0,350,48,2,2,297,2,0,535,59,11,7,470,0,0,350,48,2,4,294,2,0
0205038-816,114,11,0,0,103,1,0,81,11,0,0,70,0,0,95,11,0,0,84,1,0,66,10,2,2,55,2,0,93,9,2,1,84,0,0,66,9,2,2,58,2,0
0229039-324,168,12,1,0,155,1,0,113,11,0,0,101,1,0,204,13,2,1,185,1,0,129,7,1,0,120,1,0,199,20,7,0,174,2,0,124,7,1,0,113,1,0
0229039-318,190,11,0,0,179,0,0,137,8,0,0,129,0,0,170,11,0,1,155,2,0,134,3,0,1,126,2,0,165,14,0,1,145,2,0,138,10,0,1,126,2,0
0205038-826,439,9,8,2,430,0,0,263,7,2,1,256,0,0,492,2,7,2,492,0,0,297,1,1,1,295,0,0,494,2,2,2,491,0,0,294,3,1,2,291,0,0
0202028-140,3190,2612,124,91,163,207,5,2214,1872,65,49,98,132,2,3420,2823,141,46,122,341,1,2424,2097,60,41,91,135,0,3358,2746,172,58,125,325,1,2394,2062,74,54,98,105,0
0202028-110,2785,2435,84,27,150,100,2,2148,1909,56,22,94,69,2,3022,2527,61,18,262,174,0,2226,1968,26,13,120,104,0,3014,2569,77,19,230,148,0,2252,2025,35,15,103,80,0
0202020-550,1515,863,103,140,353,96,18,1435,833,89,121,338,86,16,1374,609,151,170,416,42,12,1127,557,76,118,337,31,3,1289,636,111,151,346,56,10,1045,569,55,103,277,40,3
0202014-965,3926,3362,160,126,147,154,10,2796,2463,97,66,83,92,7,4022,3262,278,124,198,187,20,2860,2320,175,87,171,89,0,4242,3621,189,200,200,93,18,2990,2514,154,114,137,55,0
0210033-550,468,398,12,1,54,11,1,377,323,9,1,43,7,1,382,298,16,0,20,46,2,295,238,0,0,12,45,0,387,317,17,2,24,23,2,286,247,0,2,12,24,0
0210533-505,442,398,7,1,30,8,1,361,332,5,1,22,1,1,411,325,12,0,75,0,0,369,304,10,0,56,0,0,420,362,10,0,47,0,0,369,330,10,0,28,0,0
0212229-160,3201,2550,95,27,506,44,12,2480,1978,66,20,396,37,8,3301,2676,115,53,490,35,6,2589,2098,90,34,349,14,4,2953,2417,81,37,398,38,6,2394,1980,65,20,294,23,4
0218840-002,258,29,0,6,228,0,1,164,27,0,2,136,0,0,281,30,1,0,247,2,0,167,19,1,1,150,1,0,265,27,1,0,239,0,0,163,19,1,1,142,0,0
0218840-028,670,25,1,8,640,2,6,397,19,1,3,375,1,1,574,24,0,0,547,5,7,341,26,0,0,313,3,0,604,34,3,0,568,5,7,358,34,0,0,327,3,0
0216437-740,44,13,0,0,31,0,0,31,9,0,0,22,0,0,36,9,0,0,28,1,0,26,5,0,0,17,0,0,36,6,0,0,28,0,0,28,4,0,0,22,0,0
0218840-012,416,11,0,0,405,0,0,236,11,0,0,225,0,0,589,4,1,0,580,4,0,367,3,3,0,359,3,0,633,20,0,0,606,6,0,367,8,0,0,352,8,0
0202020-545,1007,843,40,20,72,29,2,893,758,27,14,63,27,2,978,812,21,4,17,134,0,805,692,22,4,10,70,0,1055,848,22,4,43,149,0,858,718,22,4,26,78,0
0205038-836,191,6,0,0,185,0,0,145,6,0,0,139,0,0,180,2,0,2,177,0,0,114,2,0,0,112,0,0,184,2,0,2,182,0,0,117,2,0,0,114,0,0
0229006-033,687,55,2,6,622,1,3,493,49,2,4,436,1,1,571,86,16,0,473,9,0,404,76,5,0,318,7,0,587,92,9,0,482,9,0,404,79,5,0,315,7,0
0202021-615,1597,1122,68,70,186,165,16,1208,889,43,40,121,118,10,1628,970,39,99,185,217,149,1139,720,36,33,105,177,75,1572,1141,44,85,41,222,87,1181,846,43,21,26,173,51
