GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19039039005,0,0,0,240.6,74.0,163.6,239.2,76.3,150.3,185.9,57.8,125.9,157.7,105.1,0
19039039013,0,0,0,84.4,26.0,57.4,83.8,26.7,52.7,65.2,20.3,44.1,55.3,36.9,0
19053053020,0,0,0,88.6,40.4,41.6,86.4,33.4,48.3,66.0,30.2,34.3,57.8,42.9,0
19053053021,0,0,0,1018.1,465.0,478.8,993.1,383.9,554.8,758.4,347.7,394.3,664.3,492.7,0
19053053012,0,0,0,73.4,33.5,34.5,71.6,27.7,40.0,54.7,25.1,28.4,47.9,35.5,0
19053053013,0,0,0,82.0,12.8,63.2,81.6,16.2,60.6,66.6,12.1,52.4,54.5,37.4,0
19053053019,0,0,0,97.8,15.2,75.4,97.3,19.4,72.3,79.5,14.5,62.5,65.0,44.7,0
19053053016,0,0,0,39.8,6.2,30.7,39.6,7.9,29.4,32.4,5.9,25.4,26.5,18.2,0
19053053018,0,0,0,90.2,14.0,69.5,89.7,17.9,66.6,73.3,13.3,57.6,60.0,41.2,0
19053053017,0,0,0,69.1,10.8,53.3,68.8,13.7,51.1,56.2,10.2,44.1,46.0,31.6,0
19053053014,0,0,0,121.4,33.9,79.9,120.2,29.6,86.0,97.0,32.1,62.5,84.0,62.2,0
19053053009,0,0,0,822.3,229.4,540.6,813.7,200.5,582.0,656.9,217.6,422.8,568.7,421.3,0
19053053008,0,0,0,110.3,30.8,72.5,109.2,26.9,78.1,88.1,29.2,56.7,76.3,56.5,0
19053053010,0,0,0,190.0,38.0,143.0,186.0,35.0,147.0,162.0,40.0,117.0,136.0,92.0,0
19053053015,0,0,0,56.4,15.4,36.8,55.4,12.3,41.2,45.6,12.4,31.7,38.5,24.9,0
19053053006,0,0,0,204.3,55.9,133.4,200.7,44.5,149.0,165.2,45.1,114.8,139.4,90.1,0
19053053007,0,0,0,79.3,21.7,51.8,77.9,17.3,57.8,64.1,17.5,44.5,54.1,35.0,0
19053053001,0,0,0,180.7,47.8,127.2,181.5,43.8,131.3,156.4,44.6,108.6,122.4,91.6,0
19053053011,0,0,0,42.3,11.2,29.8,42.5,10.2,30.7,36.6,10.4,25.4,28.6,21.4,0
19053053004,0,0,0,107.0,34.6,68.0,106.4,28.2,76.2,86.3,29.1,55.0,76.5,54.7,0
19053053002,0,0,0,87.2,28.2,55.5,86.7,23.0,62.1,70.4,23.7,44.8,62.3,44.6,0
19053053003,0,0,0,112.6,36.4,71.6,112.0,29.7,80.1,90.8,30.6,57.8,80.4,57.5,0
19053053005,0,0,0,61.2,19.8,38.9,60.9,16.1,43.6,49.4,16.6,31.4,43.8,31.3,0
19117117008,0,0,0,275.8,62.6,202.2,271.7,53.0,210.4,237.3,66.7,166.4,202.9,144.4,0
19117117011,0,0,0,125.2,28.4,91.8,123.4,24.0,95.6,107.7,30.3,75.6,92.1,65.6,0
19117117001,0,0,0,127.5,31.7,89.0,126.8,28.3,95.6,107.0,31.2,73.9,90.4,63.9,0
19117117009,0,0,0,237.2,59.0,165.5,235.8,52.6,177.8,199.1,58.1,137.4,168.2,118.8,0
19117117010,0,0,0,158.3,39.4,110.5,157.4,35.1,118.7,132.9,38.8,91.7,112.3,79.3,0
19117117007,0,0,0,1939.0,624.0,1197.0,1903.0,523.0,1311.0,1499.0,552.0,912.0,1312.0,985.0,0
19125125005,0,0,0,381.9,94.9,261.0,380.4,88.2,271.4,310.0,97.1,207.6,264.7,191.3,0
19125125006,0,0,0,133.1,33.1,91.0,132.6,30.7,94.6,108.0,33.9,72.4,92.3,66.7,0
19125125011,0,0,0,753.0,308.0,390.0,745.0,285.0,428.0,648.0,302.0,327.0,577.0,432.0,0
19125125014,0,0,0,415.0,125.0,270.0,410.0,132.0,263.0,347.0,134.0,206.0,296.0,216.0,0
19125125010,0,0,0,190.0,64.1,114.5,185.9,51.9,125.0,157.2,66.5,86.9,138.6,97.1,0
19125125009,0,0,0,1496.1,505.0,901.6,1464.4,408.4,984.7,1238.0,524.0,684.7,1091.6,764.6,0
19125125008,0,0,0,204.0,68.9,122.9,199.7,55.7,134.3,168.8,71.5,93.4,148.8,104.3,0
19125125007,0,0,0,5093.0,1944.0,2788.0,5029.0,1689.0,3114.0,4190.0,1817.0,2256.0,3710.0,2753.0,0
19125125012,0,0,0,277.0,77.0,181.0,271.0,80.0,178.0,242.0,88.0,151.0,210.0,137.0,0
19125125013,0,0,0,399.0,120.0,263.0,392.0,121.0,257.0,339.0,121.0,210.0,285.0,225.0,0
19125125001,0,0,0,385.0,97.1,260.4,382.8,80.2,288.2,341.6,98.7,235.5,285.0,187.6,0
19125125002,0,0,0,820.0,206.9,554.6,815.2,170.8,613.8,727.4,210.3,501.5,607.0,399.4,0
19099099021,0,0,0,339.7,111.2,201.6,338.2,95.5,225.6,287.5,118.7,164.3,262.1,187.3,0
19099099022,0,0,0,1008.3,329.9,598.4,1003.8,283.5,669.4,853.4,352.3,487.7,777.9,555.7,0
19099099019,0,0,0,1017.7,118.9,851.9,1014.6,107.2,883.2,870.7,131.4,733.0,713.5,445.9,0
19099099020,0,0,0,283.3,33.1,237.1,282.4,29.8,245.8,242.3,36.6,204.0,198.6,124.1,0
19099099015,0,0,0,587.0,166.0,383.0,578.0,150.0,396.0,491.0,186.0,294.0,437.0,315.0,0
19117117012,0,0,0,183.8,47.1,128.5,181.8,39.7,136.7,161.6,45.6,114.9,132.4,93.8,0
19117117006,0,0,0,288.2,73.9,201.5,285.2,62.3,214.3,253.4,71.4,180.1,207.6,147.2,0
19117117013,0,0,0,86.8,22.7,59.0,84.1,20.7,60.8,74.0,24.9,48.0,61.5,44.4,0
19117117005,0,0,0,127.8,33.5,86.9,123.8,30.5,89.5,108.9,36.7,70.7,90.6,65.3,0
19117117014,0,0,0,266.5,69.8,181.1,258.2,63.7,186.7,227.1,76.4,147.4,188.9,136.3,0
19117117004,0,0,0,128.2,35.0,86.7,125.3,32.2,87.4,112.9,33.3,75.5,94.8,58.4,0
19117117002,0,0,0,137.8,37.6,93.2,134.7,34.6,94.0,121.4,35.8,81.2,101.9,62.7,0
19117117003,0,0,0,272.1,74.3,184.1,266.0,68.3,185.6,239.7,70.8,160.3,201.3,123.9,0
19115115003,0,0,0,1093.2,483.8,547.4,1073.5,412.5,612.0,873.8,405.8,449.9,737.3,561.5,0
19115115005,0,0,0,452.8,137.7,284.0,448.7,133.1,296.8,314.7,116.2,192.1,257.0,169.2,0
19115115007,0,0,0,377.5,114.8,236.8,374.1,111.0,247.5,262.4,96.9,160.2,214.3,141.1,0
19115115006,0,0,0,159.6,48.5,100.1,158.2,46.9,104.6,110.9,41.0,67.7,90.6,59.7,0
19115115012,0,0,0,101.9,27.6,68.7,99.7,22.7,73.8,78.5,25.9,51.5,64.6,41.2,0
19115115011,0,0,0,595.2,161.4,401.3,582.3,132.3,431.2,458.6,151.1,300.6,377.4,240.8,0
19115115009,0,0,0,142.0,42.1,92.3,140.9,36.1,98.9,109.4,40.2,67.2,87.5,58.4,0
19115115010,0,0,0,1333.5,395.8,867.1,1322.6,339.4,928.5,1027.2,377.5,631.4,821.5,548.5,0
19115115008,0,0,0,131.6,39.1,85.6,130.5,33.5,91.6,101.4,37.3,62.3,81.1,54.1,0
19115115013,0,0,0,91.4,29.0,56.8,89.6,23.8,61.5,72.3,26.1,44.9,59.7,39.2,0
19115115004,0,0,0,292.6,93.0,181.7,286.8,76.1,197.0,231.5,83.5,143.8,191.2,125.6,0
19115115001,0,0,0,106.8,33.9,66.3,104.6,27.8,71.9,84.5,30.5,52.5,69.8,45.8,0
19115115002,0,0,0,130.1,41.3,80.8,127.5,33.8,87.6,102.9,37.1,63.9,85.0,55.8,0
19057057013,0,0,0,463.0,164.0,272.0,455.0,155.0,284.0,383.0,166.0,215.0,304.0,222.0,0
19057057004,0,0,0,70.5,18.5,47.7,68.7,17.1,50.1,60.1,20.9,38.7,46.3,32.0,0
19057057003,0,0,0,183.2,48.0,124.1,178.5,44.4,130.3,156.2,54.2,100.4,120.4,83.0,0
19057057005,0,0,0,452.2,118.5,306.2,440.7,109.5,321.6,385.6,133.9,247.9,297.2,205.0,0
19057057002,0,0,0,1104.3,323.7,718.4,1084.6,287.2,757.9,901.8,329.6,554.0,714.0,506.5,0
19057057006,0,0,0,406.7,119.2,264.6,399.5,105.8,279.1,332.2,121.4,204.0,263.0,186.5,0
19057057001,0,0,0,169.3,39.6,119.9,166.0,34.3,129.7,143.2,40.4,100.7,108.1,71.0,0
