GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
1100102-066,5803,290,321,5175,39,80,5,4829,271,234,4292,36,68,5,6449,459,872,5061,177,69,0,4929,393,474,3907,90,21,0,6842,565,649,5531,164,90,0,5203,479,214,4351,74,34,0,6909,896,796,5031,134,287,5,5747,786,593,4208,106,246,3
1100102-065,3302,82,304,2933,30,23,10,2711,67,209,2444,24,20,5,4539,327,696,3617,81,43,0,3285,165,135,2924,40,14,0,4862,380,740,3775,61,48,0,3515,210,190,3055,30,24,0,3974,382,646,2899,59,106,8,3277,309,442,2482,46,82,6
1100102-014,6237,4411,483,717,54,607,11,6066,4311,468,694,50,577,11,5329,3828,650,441,29,421,8,4529,3432,409,389,7,281,7,5562,4019,606,449,4,497,13,4621,3452,391,403,0,382,11,6533,4350,664,716,69,726,12,6227,4189,611,682,57,664,11
1100102-038,4627,772,1491,2301,54,141,12,3739,751,1128,1790,38,127,11,5447,1446,1090,2638,24,349,0,4166,1324,544,2071,10,214,0,4768,1371,1052,2091,27,270,0,3775,1264,622,1619,16,253,0,5256,1826,1439,1682,145,342,6,4457,1702,1135,1343,119,309,6
1100102-123,5985,1439,378,4070,81,171,31,4319,1066,245,2931,59,95,16,7829,2184,736,4821,83,204,0,5219,1603,301,3199,15,92,0,8210,2196,918,5066,90,208,2,5129,1591,379,3012,15,105,0,6951,2028,636,4048,188,278,40,4995,1436,420,2964,142,182,32
1100102-124,3712,47,42,3629,38,25,4,2771,42,33,2696,25,17,2,4678,84,22,4571,20,5,0,3592,35,11,3526,17,0,0,4567,115,51,4404,35,5,0,3454,72,19,3347,24,0,0,4229,56,152,3968,125,50,7,3221,48,101,3008,95,37,3
1100102-126,6900,296,188,6403,58,67,14,5152,222,117,4791,46,47,8,8090,495,202,7410,47,109,23,5774,382,121,5220,13,18,0,7937,507,313,7122,83,108,21,5569,385,110,5010,36,20,0,7224,382,251,6581,104,70,17,5376,292,182,4887,70,55,17
1100102-004,5385,4066,397,231,39,668,15,5268,3991,383,219,37,649,13,6013,4457,532,282,39,742,29,4833,3884,287,218,35,384,22,5555,4050,639,226,43,629,39,4679,3683,450,184,35,295,39,6532,4375,602,391,64,1112,8,6225,4202,566,348,58,1052,7
1100102-040,6772,3111,1616,1663,113,473,19,6014,2881,1297,1489,94,402,18,7849,3523,2455,1593,248,467,0,5135,3048,866,971,49,196,0,7405,3282,2285,1662,159,406,0,4957,2607,1088,1057,49,178,0,7176,3350,2108,1148,293,607,28,6086,2965,1623,1040,227,502,21
1100102-003,6086,4309,370,585,55,852,7,5966,4245,358,565,55,823,7,5728,3529,898,436,48,842,0,4304,3046,493,361,20,393,0,6000,3743,832,413,35,988,0,4566,3276,507,305,15,471,0,6354,3855,595,455,48,1366,17,6170,3766,572,441,44,1323,17
