GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
4609900N2-6,1324,402,919,1307,540,686,1149,606,536,1222,661,544
4609900N3-6,980,468,516,998,517,385,782,486,297,820,523,276
4609900N5-3,427,179,242,426,205,166,346,218,128,359,223,130
4609900N5-4,869,426,435,870,508,303,780,542,240,829,589,234
4609900N5-6,1056,403,654,1063,465,520,901,530,365,949,587,348
4609900N4-4,778,362,416,795,378,351,609,361,248,649,402,225
4609900N5-8,935,404,532,929,515,343,875,585,294,917,621,273
460990N3-13,816,236,580,815,317,437,685,325,359,715,351,359
460990N3-15,1257,397,863,1258,501,644,1073,578,493,1139,609,513
460990N4-12,1104,393,713,1106,465,572,996,538,458,1042,575,458
460990N5-10,683,294,388,687,329,304,555,334,227,590,374,209
460990N5-11,683,255,432,698,308,334,600,311,288,635,364,259
460990N5-13,704,245,456,678,322,297,614,373,240,652,387,256
460990N5-14,904,408,501,915,428,387,747,457,286,784,488,283
460990N5-17,618,223,394,609,266,307,537,307,226,562,306,252
460990N5-18,1016,478,538,1027,534,401,879,557,323,928,605,312
460990N5-19,538,177,367,545,234,280,532,288,240,552,305,241
460990N5-21,458,155,307,455,205,234,403,244,160,425,247,176
460990NVP01,757,175,586,775,186,522,615,218,401,652,240,401
460990NVP10,1121,324,775,1135,357,688,997,464,547,1057,501,540
460990NVP12,134,28,102,132,27,95,117,42,73,127,45,81
46099NVP-07,1658,405,1258,1651,478,1038,1435,619,823,1527,744,775
46099NVP-08,678,182,531,685,186,460,605,221,380,648,292,358
460990NVP17,634,142,490,641,171,428,579,211,357,616,249,363
460990N3-11,974,246,727,965,355,548,864,436,431,904,446,457
460990N5-12,725,259,465,729,321,352,639,370,264,672,411,255
46101000V-1,523,232,286,516,263,223,515,326,179,523,345,161
46101000V-2,524,248,279,519,281,204,482,304,180,507,344,161
46101000V-3,541,139,419,539,147,359,510,167,309,521,230,269
46101000V-4,374,78,266,374,78,259,327,121,201,340,172,201
46101000V-5,659,167,503,663,167,499,601,212,377,628,264,375
46101V-3/4B,331,81,242,331,99,205,322,171,172,327,169,177
46102VTD-BA,143,94,52,145,93,44,161,111,41,162,122,31
46102VTD-CN,50,29,18,50,37,11,63,40,17,63,44,14
