GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
05093028,66,26,39,114.9,41.7,69.6,108.8,36.4,68.8
05093030,358,104,248,248.8,72.2,169.8,240.0,67.3,162.0
05093031,409,110,287,320.9,75.3,235.6,299.9,73.3,214.6
05093032,379,157,210,290.5,97.3,184.0,273.4,90.7,173.5
05093033,255,57,192,181.8,29.2,149.9,172.8,26.0,140.0
05093034,93,21,70,66.5,10.7,54.8,63.2,9.5,51.2
05093035,222,50,166,156.7,25.2,129.3,149.0,22.4,120.8
05093036,129,41,84,179.1,27.9,141.3,170.6,28.6,134.2
05093037,125,40,81,172.9,26.9,136.4,164.7,27.6,129.5
05093038,179,57,116,249.6,38.9,196.9,237.7,39.8,187.0
05093039,126,40,82,175.4,27.3,138.4,167.0,28.0,131.4
05093040,339,102,222,242.6,44.5,190.1,232.3,43.9,177.9
05093041,412,124,270,294.0,53.9,230.4,281.5,53.2,215.6
05093042,250,75,164,178.8,32.8,140.1,171.2,32.4,131.1
05093043,283,85,186,203.3,37.3,159.3,194.7,36.8,149.1
05093044,345,104,226,246.1,45.1,192.8,235.7,44.5,180.5
05093045,179,54,117,128.1,23.5,100.4,122.7,23.2,93.9
05093046,64,33,29,26.3,8.9,17.0,24.0,8.5,13.9
05093047,104,53,47,41.7,14.1,27.0,38.0,13.5,22.1
05093048,186,139,42,98.8,65.5,29.6,90.9,61.0,27.7
05093049,127,95,28,67.6,44.8,20.2,62.1,41.7,18.9
05093050,179,134,40,95.4,63.2,28.5,87.8,58.9,26.7
05093051,79,59,18,42.1,27.9,12.6,38.7,26.0,11.8
05093054,13,10,3,7.1,4.7,2.1,6.5,4.4,2.0
05093055,244,166,72,371.9,221.0,137.3,346.5,197.1,139.4
05093056,90,61,27,137.4,81.6,50.7,128.0,72.8,51.5
05093057,147,100,43,222.9,132.4,82.3,207.7,118.1,83.5
05093058,92,63,27,141.1,83.8,52.1,131.5,74.8,52.9
05093059,108,73,32,163.5,97.2,60.4,152.4,86.7,61.3
05093060,257,175,76,392.2,233.0,144.8,365.5,207.8,147.0
05093061,370,252,109,564.1,335.1,208.2,525.6,298.9,211.4
05093062,16,11,5,24.1,14.3,8.9,22.4,12.8,9.0
05093063,114,29,82,64.6,13.6,49.0,59.1,12.7,44.4
05093064,233,59,169,132.2,27.8,100.3,120.9,25.9,90.9
05093065,273,69,198,155.3,32.6,117.8,142.0,30.4,106.7
05093066,68,28,39,35.5,10.7,23.5,32.9,8.9,22.4
05093067,37,15,21,19.2,5.8,12.7,17.8,4.8,12.1
05093068,52,21,30,27.1,8.2,18.0,25.2,6.8,17.1
05093069,42,17,24,22.1,6.7,14.7,20.5,5.6,14.0
05093070,224,92,127,116.4,35.1,77.3,108.1,29.3,73.6
05093071,303,124,172,157.7,47.6,104.7,146.4,39.6,99.7
05093073,384,268,103,190.6,123.5,62.1,175.7,108.5,60.5
05093074,80,56,21,39.4,25.5,12.9,36.4,22.5,12.5
05093075,185,109,69,97.5,41.5,51.7,92.4,35.6,52.6
05093076,186,38,141,86.9,10.4,73.5,80.4,9.4,69.0
05093077,189,39,143,88.2,10.6,74.5,81.6,9.6,70.0
05093078,322,137,172,155.7,26.6,118.7,146.6,33.1,106.4
05093080,43,17,25,73.6,26.7,44.6,69.7,23.3,44.1
05093081,281,88,189,101.5,30.9,64.5,95.3,24.7,65.2
05093082,128,40,86,46.5,14.1,29.5,43.6,11.3,29.8
05093084,174,74,93,84.3,14.4,64.3,79.4,17.9,57.6
05093085,91,62,27,138.6,82.4,51.2,129.2,73.5,52.0
05093086,87,59,26,133.2,79.2,49.2,124.2,70.6,49.9
05093087,32,19,12,17.5,7.5,9.3,16.6,6.4,9.4
05095001,37,15,22,31.7,12.7,18.5,31.5,14.4,16.8
05095002,119,46,71,100.3,40.3,58.5,99.5,45.6,53.2
05095003,174,57,114,151.5,47.3,101.0,147.0,56.0,87.2
05095004,102,34,67,88.8,27.2,59.7,86.2,32.5,51.5
05095005,342,131,194,272.3,112.9,148.5,260.0,102.1,152.7
05095006,74,18,53,58.0,12.0,44.0,58.0,11.0,46.0
05095007,126,23,98,110.0,13.0,96.0,108.0,20.0,83.0
05095008,56,14,40,35.8,9.7,24.1,35.0,13.3,21.7
05095009,50,12,36,32.2,8.7,21.7,31.5,11.9,19.5
05095011,99,25,72,109.8,20.7,85.1,108.2,34.2,70.0
05095012,76,37,38,66.2,27.8,34.5,66.2,29.7,35.5
05095013,32,8,23,21.0,5.7,14.2,20.5,7.8,12.8
05095014,63,21,41,51.5,16.2,34.5,50.7,18.7,29.4
05095015,27,9,17,21.6,6.8,14.5,21.3,7.9,12.3
05095016,58,19,38,47.8,15.0,32.0,47.1,17.4,27.3
05095019,430,201,218,384.9,163.2,212.9,373.7,178.6,192.6
05095020,314,264,49,294.1,185.7,97.7,282.4,177.9,96.4
05095021,506,199,299,363.7,191.6,161.7,350.6,186.1,157.3
05095027,225,98,121,212.2,86.7,118.6,201.3,103.9,95.2
05095028,231,147,78,165.5,97.3,61.8,153.7,101.0,49.1
05095029,26,6,19,28.2,5.3,21.9,27.8,8.8,18.0
05095030,207,169,34,173.3,150.5,20.4,163.1,133.1,26.3
05095031,75,62,12,63.5,55.6,7.1,59.7,49.1,9.2
050971,144,31,109,82.0,9.0,69.0,80.0,17.0,62.0
050972,314,78,219,301.5,43.5,247.0,295.1,65.9,215.3
050973,459,108,333,331.7,54.5,269.7,325.8,65.8,250.1
050974,283,96,179,233.2,47.8,172.2,224.1,67.1,151.8
050975,202,78,112,193.0,61.0,125.8,188.8,71.9,108.0
