GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
23031016725,1235,471,669,1025,81,469,1016,349,604,1387,435,877,1389,588,758
2302153628,78,28,47,68,3,32,65,25,37,81,24,54,85,37,47
2302118195,2120,796,1140,1770,161,762,1728,730,881,2342,684,1490,2348,924,1359
2302129535,1015,383,583,887,57,398,871,344,474,1087,344,695,1084,457,602
2302156765,481,152,284,376,17,191,372,134,210,490,119,348,494,150,334
2302165865,715,211,456,545,35,285,554,205,323,755,195,513,757,258,480
2302185710,84,20,58,71,1,46,76,22,53,90,15,73,90,20,70
2301941435,231,62,155,189,8,124,194,45,140,257,38,207,256,57,193
2301955680,2371,876,1316,2011,132,963,2028,831,1084,2559,797,1633,2578,1101,1408
2301902795,15513,8224,6013,12470,1543,3848,12359,7160,4469,16291,7555,7579,16295,9553,6079
2301924110,545,179,331,443,24,204,440,155,248,580,146,395,574,192,367
2301955225,3909,2046,1517,3154,372,1018,3116,1744,1188,4290,1871,2096,4291,2390,1672
2301914310,1134,307,739,890,38,489,878,288,557,1245,254,928,1250,367,849
23005719902,3020,2214,617,2963,460,444,2949,2199,619,2870,1798,817,2907,2228,588
23005028870,4807,2038,2402,4208,362,1745,4174,1805,2137,5424,2100,2975,5426,2681,2563
23005719904,2965,1870,920,2586,436,575,2599,1706,747,3288,1905,1140,3256,2281,888
23005719903,3089,1947,963,2703,451,601,2718,1780,781,3427,1983,1186,3386,2376,925
23005066145,12650,6952,4928,11617,1100,3625,11616,6148,4922,15186,7664,6819,15175,9588,5229
23005002655,911,273,561,779,65,403,777,249,492,1003,255,691,1005,354,625
23005605432,3718,2723,755,3432,574,528,3367,2558,666,3548,2247,948,3574,2774,721
23001019105,2553,1093,1268,2226,173,924,2187,932,1142,2822,1043,1575,2810,1376,1336
23001040665,1295,475,705,1076,77,487,1106,438,582,1386,454,885,1402,579,785
23001029255,2539,817,1545,2031,114,1048,2026,624,1250,2656,691,1834,2655,924,1667
23001040035,4849,1711,2754,3991,315,1747,3934,1546,2062,5283,1764,3141,5275,2213,2860
23001044585,1539,519,873,1271,75,639,1255,453,671,1707,512,1059,1713,657,991
23001038565,1273,418,752,1033,77,488,1025,374,566,1370,397,898,1369,510,820
2301987390,130,23,99,97,4,64,98,18,74,136,17,114,136,19,116
2301957150,490,139,323,366,18,176,381,136,221,508,100,384,523,151,363
2301936325,728,204,462,568,28,300,562,190,339,768,177,556,774,245,515
2301914380,1505,371,1059,1154,57,742,1136,295,787,1570,306,1202,1581,394,1150
2301917530,1783,577,1064,1344,93,638,1392,546,765,1858,463,1284,1852,624,1172
23005605441,4740,3557,929,3897,816,470,3904,3100,639,4689,3105,1020,4671,3750,766
2301955565,5401,3449,1448,4372,984,805,4266,2987,1030,5250,3184,1607,5246,3768,1203
2301912105,704,141,533,580,31,398,572,130,424,761,129,611,756,166,581
23001079585,876,221,579,707,25,408,700,194,457,916,195,684,919,278,617
23005015430,5339,3211,1758,5143,413,1428,5104,2985,1911,6089,3260,2545,6051,4118,1804
23005605421,4334,3711,382,3940,1087,218,3911,3456,306,4845,3671,523,4871,4380,352
2301906925,5170,2183,2590,4034,332,1649,4006,1893,1895,5298,1956,3067,5314,2560,2574
2301901500,84,34,47,68,5,35,67,22,38,84,25,48,84,36,46
2301917950,719,234,432,606,46,277,596,241,320,737,214,490,735,268,447
2300302762,42,13,28,31,1,16,31,11,19,41,12,28,43,14,29
2300383785,138,42,93,103,2,56,102,35,64,141,38,98,140,42,96
2300343255,1128,362,694,922,47,402,918,275,576,1158,278,827,1165,410,728
2300378570,937,505,392,710,75,220,668,348,270,884,320,516,892,470,410
2300340595,496,113,357,365,20,194,372,86,250,524,99,389,534,143,382
2300348575,162,69,85,115,5,41,114,45,58,156,55,96,160,62,93
2300379865,292,155,127,235,15,41,228,130,83,294,128,157,293,155,134
2300325615,1656,665,890,1350,88,498,1350,510,689,1709,481,1133,1710,681,987
2300365200,163,59,92,125,14,37,127,51,64,167,55,105,172,64,104
2301912525,330,66,245,223,3,139,226,57,161,325,36,272,328,62,262
2301945810,2218,921,1163,1845,102,707,1834,845,854,2401,744,1514,2411,1060,1313
2301939475,2454,710,1577,1914,134,1013,1895,664,1115,2589,582,1850,2610,822,1727
2301932510,3509,1110,2174,2851,201,1504,2842,1026,1686,3970,1093,2714,3986,1462,2433
2300319420,470,220,231,362,36,124,357,174,157,465,145,288,463,199,257
2300341715,229,66,140,171,16,78,172,55,105,253,57,185,256,79,169
2300305385,396,95,284,321,20,178,320,66,239,395,54,320,402,98,299
2300364780,442,201,214,369,33,111,364,185,149,493,173,300,494,227,257
2300343710,754,195,519,578,30,284,593,150,411,741,141,562,745,224,512
23005087845,5557,3737,1506,5354,629,1137,5243,3446,1572,6435,3990,2142,6414,4836,1442
23005084303,1720,1102,500,1552,147,326,1529,1040,412,1912,1130,643,1919,1343,513
23005084305,1805,1157,527,1633,155,344,1612,1096,434,2020,1192,676,2009,1410,537
23005084304,1807,1161,525,1638,156,346,1623,1100,440,2018,1190,679,2017,1416,537
23005084307,1953,1253,569,1770,171,371,1743,1183,471,2180,1290,730,2175,1530,581
23005084306,1831,1173,534,1652,160,345,1627,1106,440,2038,1206,679,2039,1428,547
23005084302,1674,1076,485,1520,148,318,1496,1019,403,1869,1105,626,1869,1315,499
23005084301,1770,1138,514,1610,156,339,1586,1081,427,1983,1172,664,1983,1390,528
23005027025,77,43,26,63,2,24,63,29,30,57,27,29,57,38,19
23005086025,9932,4345,4869,8383,776,3131,8337,3685,4182,11523,4672,6138,11522,5844,5292
23005011125,2107,826,1119,1724,171,738,1714,702,894,2295,826,1316,2311,1047,1187
23031646756,1487,895,493,1241,144,313,1243,760,418,1901,953,828,1897,1171,672
23031080530,3898,1385,2193,3115,259,1387,3086,1135,1740,4510,1486,2714,4506,1881,2477
23031646754,1851,1099,660,1671,111,481,1684,981,630,1816,916,791,1830,1127,648
2302137095,19,9,9,22,0,10,23,8,13,12,2,10,12,3,9
2302166950,385,103,258,323,21,191,325,98,212,427,81,321,430,118,306
2302106400,88,25,60,92,6,53,89,27,60,118,32,82,117,41,76
2300911265,584,332,205,458,49,111,453,298,141,500,290,180,503,350,136
2300917145,1208,690,454,1050,93,306,1054,652,357,1337,664,591,1333,815,497
2300957920,791,449,280,720,89,209,710,426,249,854,376,384,851,517,307
2300938180,1082,485,517,975,99,398,967,462,436,1208,488,640,1219,623,577
2300920405,41,10,26,30,3,17,30,12,16,52,18,29,52,22,30
2300975455,250,103,122,210,19,103,206,84,108,265,97,154,267,133,129
2300930970,1296,511,679,1098,87,490,1092,472,566,1468,488,879,1481,666,780
2300902165,70,16,45,52,4,29,55,17,34,68,21,42,67,27,39
2300943430,286,92,165,233,26,126,237,91,132,308,85,204,311,114,191
2302524320,3285,1261,1748,2590,215,1127,2575,1185,1239,3409,1123,2006,3410,1443,1849
2300974965,653,287,301,564,55,225,557,276,248,720,279,392,729,358,349
2300928450,1023,413,560,913,81,419,899,405,455,1121,383,685,1122,482,613
2300969750,203,100,87,179,9,75,178,89,81,189,73,103,190,90,94
2302941610,782,377,360,706,87,250,694,413,243,891,355,487,888,462,407
2302957082,259,186,59,143,35,25,141,77,34,264,159,92,265,193,69
2302909585,1455,579,764,1163,91,451,1125,491,547,1519,473,976,1525,633,858
2302931530,481,130,323,383,39,216,378,127,231,542,137,380,541,170,364
23027077625,559,218,289,449,47,210,449,197,226,592,174,379,597,236,341
2302975770,37,13,22,32,1,16,32,13,18,31,11,19,32,13,18
2301587075,2183,871,1166,1860,143,749,1832,801,905,2336,873,1301,2330,1126,1115
2301546335,57,40,6,60,12,3,61,45,7,63,44,7,63,52,7
2302517285,24,5,19,19,0,15,17,4,13,24,3,20,24,5,19
2302542660,2230,820,1264,1859,130,833,1844,771,954,2393,676,1515,2395,938,1414
2302531740,874,224,601,680,48,372,671,209,411,896,195,653,903,269,611
2302514555,716,253,411,578,44,291,580,242,317,786,216,508,778,286,472
2302902970,120,48,66,86,10,33,84,41,38,112,40,71,112,42,68
2300724775,3867,1996,1486,3300,514,949,3228,2032,1138,3936,1773,1835,3936,2249,1545
2300749520,429,131,257,364,28,179,354,139,192,461,106,305,466,156,294
2300734820,461,191,234,409,35,140,414,224,168,510,182,280,507,234,254
2300714205,96,38,44,82,8,24,81,39,32,111,34,64,111,60,44
23023006365,1844,883,805,1667,121,568,1650,875,680,2078,939,970,2082,1135,858
2300774825,575,175,350,487,23,226,481,191,265,622,142,436,625,206,401
2300719865,416,141,236,353,21,149,355,155,180,448,135,287,450,172,266
2300785850,2166,879,1068,1778,143,679,1852,892,845,2162,775,1255,2171,979,1110
2300751400,12,5,6,11,0,5,9,3,6,12,3,8,14,6,8
2300724005,396,132,216,341,28,150,334,132,174,440,132,271,436,169,248
2300749345,915,313,499,790,63,323,787,359,374,962,286,571,961,395,529
2302108325,602,213,333,470,39,228,462,201,229,682,199,426,687,249,407
23001060020,3209,1255,1688,2742,212,1269,2721,1086,1430,3523,1168,2165,3538,1529,1910
2301376365,1475,792,582,1285,138,393,1267,685,506,1678,712,824,1677,970,666
2301365130,895,449,384,1506,149,448,1494,873,546,1842,923,807,1828,1120,665
2301344165,51,33,18,46,5,9,45,28,11,51,23,25,50,36,14
23001387401,2489,1529,805,2054,464,489,2073,1382,563,2220,1297,790,2238,1482,683
2301380425,924,326,508,791,68,355,777,325,402,991,321,589,993,419,541
2300737025,650,248,334,583,41,217,568,265,268,739,273,412,738,340,367
23005605452,4496,2942,1322,4047,519,908,4012,2638,1200,4697,2690,1681,4694,3278,1284
