GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
271370165,2371.0,1378.0,754.0,2174.0,1345.0,738.0,2223.0,1581.0,593.0,2211.0,1468.0,679.0,2526,1644,843
271370170,1242.5,765.5,365.7,1049.0,701.0,301.2,1073.8,805.2,236.7,1074.5,756.3,287.1,1213,802,406
271370180,1450.8,910.0,384.8,1233.4,848.8,314.5,1259.9,955.9,249.9,1256.3,913.9,293.2,1644,1079,537
271370175,1783.4,1091.0,558.9,1637.1,1028.7,560.9,1662.8,1186.0,446.1,1652.9,1093.0,547.0,1824,1108,697
271370205,1774.1,1132.5,430.0,1554.2,1108.7,323.1,1582.9,1232.9,255.4,1573.6,1182.7,295.1,1694,1263,367
271370200,1445.6,938.8,348.9,1194.0,851.4,269.9,1217.2,959.8,211.3,1214.8,915.9,253.7,1513,1089,397
271370190,2028.0,1041.0,669.0,1456.0,930.0,389.0,1493.0,1042.0,315.0,1482.0,996.0,378.0,2447,1616,784
271370195,2798.0,1546.0,962.0,2360.0,1517.0,736.0,2414.0,1751.0,587.0,2396.0,1614.0,694.0,3043,1975,1017
271370210,1508.4,941.3,346.2,1229.2,946.8,187.1,1253.5,1016.8,152.1,1248.2,978.4,184.8,1686,1327,309
271370235,892.4,609.2,183.7,730.6,514.4,134.8,740.6,576.5,105.7,736.8,551.4,126.7,882,663,186
271370215,1287.7,854.2,265.9,1136.9,853.9,204.0,1152.1,913.1,166.7,1149.1,900.0,200.4,1368,1020,302
271370220,1527.1,953.1,415.0,1313.1,905.0,329.5,1330.8,997.4,270.5,1328.2,956.3,318.9,1529,1083,413
271370225,900.6,546.9,269.6,765.2,506.8,215.7,775.6,566.8,177.3,774.3,536.2,207.9,1003,707,282
271370230,658.3,436.6,149.5,553.7,392.2,109.0,560.4,434.2,86.5,557.3,416.0,102.8,780,634,129
271370240,815.0,572.0,194.0,762.0,564.0,164.0,786.0,641.0,125.0,781.0,599.0,162.0,883,657,203
271370245,410.4,267.9,94.5,367.7,277.1,61.1,370.3,295.5,47.9,367.0,286.9,56.5,583,466,103
271370255,875.7,545.9,227.2,751.1,516.6,156.6,756.6,585.3,120.9,754.8,546.8,152.1,999,716,245
271370250,830.3,529.1,206.8,708.9,505.4,156.4,713.4,561.7,116.1,711.3,529.2,141.0,964,716,228
271370280,1130.0,683.0,310.0,1020.0,660.0,260.0,1028.0,737.0,221.0,1024.0,698.0,242.0,1399,1010,337
271370260,998.1,534.9,375.8,931.8,538.0,350.2,947.2,652.9,272.5,945.4,583.6,333.7,971,629,330
271370265,1827.0,984.1,707.2,1681.2,935.0,681.8,1714.8,1158.1,527.5,1710.6,1024.4,645.3,1904,1122,738
271370270,1516.0,841.0,576.0,1364.0,789.0,499.0,1389.0,951.0,407.0,1381.0,854.0,487.0,1599,1020,556
271370275,1443.0,780.0,548.0,1329.0,763.0,515.0,1352.0,913.0,405.0,1351.0,818.0,489.0,1547,957,558
271370285,1177.0,693.6,346.8,1013.1,635.9,280.4,1018.4,723.8,236.7,1016.2,673.9,271.8,1300,929,331
271370290,588.4,356.0,185.9,499.4,354.0,99.9,504.4,383.7,93.9,504.4,361.0,100.9,654,485,159
271370295,1338.6,798.4,388.3,1179.4,792.1,293.7,1191.3,907.5,237.3,1189.5,851.2,287.4,1453,1021,410
